paperId,title,abstract,clean_abstract
55ad5e818cfed72317576027fb33a9609210d592,Training and Evaluating a Jupyter Notebook Data Science Assistant,"We study the feasibility of a Data Science assistant powered by a sequence-to-sequence transformer by training a new model JuPyT5 on all publicly available Jupyter Notebook GitHub repositories and developing a new metric: Data Science Problems (DSP). DSP is a collection of 1119 problems curated from 306 pedagogical notebooks with 92 dataset dependencies, natural language and Markdown problem descriptions, and assert-based unit tests. These notebooks were designed to test university students' mastery of various Python implementations of Math and Data Science, and we now leverage them to study the ability of JuPyT5 to understand and pass the tests. We analyze the content of DSP, validate its quality, and we find that given 100 sampling attempts JuPyT5 is able to solve 77.5\% of the DSP problems. We further present various ablation and statistical analyses and compare DSP to other recent natural language to code benchmarks.",studi feasibl data scienc assist power sequencetosequ transform train new model jupyt publicli avail jupyt notebook github repositori develop new metric data scienc problem dsp dsp collect problem curat pedagog notebook dataset depend natur languag markdown problem descript assertbas unit test notebook design test univers student masteri variou python implement math data scienc leverag studi abil jupyt understand pass test analyz content dsp valid qualiti find given sampl attempt jupyt abl solv dsp problem present variou ablat statist analys compar dsp recent natur languag code benchmark
70fe060c12b3f100148d1a2be1e8f4254022543e,The case for data science in experimental chemistry: examples and recommendations,,nan
0934b1ae89f61279ac864327a9f3ea961cf1fd1c,Data Science,,nan
9a727f29f01c5efc66a977332e523b37f73ea372,SMU Data Science Review SMU Data Science,". Before the internet, high-speed laptop computers, and big data became accessible and popular, academia on stock market trading concentrated on Efficient Market Hypothesis (EMH). EMH hinges on the idea that the market is efficient and there is no extra return that could be generated. With the dynamic development of the internet, big-data and computing technology, many researchers started to pay attention to Technical Analysis and its usage. Numerous academic papers claimed that technical analysis can enhance returns by using various technical tools. This paper explores in-depth the simulation model of Moving Average and Moving Average Convergence/Divergence (MACD) to come up with optimized parameters that will allow traders to profit from trading Dow Jones Industrial Index and Hang Seng Index.",internet highspe laptop comput big data becam access popular academia stock market trade concentr effici market hypothesi emh emh hing idea market effici extra return could gener dynam develop internet bigdata comput technolog mani research start pay attent technic analysi usag numer academ paper claim technic analysi enhanc return use variou technic tool paper explor indepth simul model move averag move averag convergencediverg macd come optim paramet allow trader profit trade dow jone industri index hang seng index
88ca84ce36ddc1bf7b6593b7f73fe2663e2365ad,Foundations of Data Science,"Computer science as an academic discipline began in the 1960’s. Emphasis was on programming languages, compilers, operating systems, and the mathematical theory that supported these areas. Courses in theoretical computer science covered finite automata, regular expressions, context-free languages, and computability. In the 1970’s, the study of algorithms was added as an important component of theory. The emphasis was on making computers useful. Today, a fundamental change is taking place and the focus is more on applications. There are many reasons for this change. The merging of computing and communications has played an important role. The enhanced ability to observe, collect, and store data in the natural sciences, in commerce, and in other fields calls for a change in our understanding of data and how to handle it in the modern setting. The emergence of the web and social networks as central aspects of daily life presents both opportunities and challenges for theory.",comput scienc academ disciplin began emphasi program languag compil oper system mathemat theori support area cours theoret comput scienc cover finit automata regular express contextfre languag comput studi algorithm ad import compon theori emphasi make comput use today fundament chang take place focu applic mani reason chang merg comput commun play import role enhanc abil observ collect store data natur scienc commerc field call chang understand data handl modern set emerg web social network central aspect daili life present opportun challeng theori
108acf9a358512a40191d857e2456aeaaac3303b,Diversifying the genomic data science research community,"Over the past 20 years, the explosion of genomic data collection and the cloud computing revolution have made computational and data science research accessible to anyone with a web browser and an internet connection. However, students at institutions with limited resources have received relatively little exposure to curricula or professional development opportunities that lead to careers in genomic data science. To broaden participation in genomics research, the scientific community needs to support these programs in local education and research at underserved institutions (UIs). These include community colleges, historically Black colleges and universities, Hispanic-serving institutions, and tribal colleges and universities that support ethnically, racially, and socioeconomically underrepresented students in the United States. We have formed the Genomic Data Science Community Network to support students, faculty, and their networks to identify opportunities and broaden access to genomic data science. These opportunities include expanding access to infrastructure and data, providing UI faculty development opportunities, strengthening collaborations among faculty, recognizing UI teaching and research excellence, fostering student awareness, developing modular and open-source resources, expanding course-based undergraduate research experiences (CUREs), building curriculum, supporting student professional development and research, and removing financial barriers through funding programs and collaborator support.",past year explos genom data collect cloud comput revolut made comput data scienc research access anyon web browser internet connect howev student institut limit resourc receiv rel littl exposur curricula profession develop opportun lead career genom data scienc broaden particip genom research scientif commun need support program local educ research underserv institut ui includ commun colleg histor black colleg univers hispanicserv institut tribal colleg univers support ethnic racial socioeconom underrepres student unit state form genom data scienc commun network support student faculti network identifi opportun broaden access genom data scienc opportun includ expand access infrastructur data provid ui faculti develop opportun strengthen collabor among faculti recogn ui teach research excel foster student awar develop modular opensourc resourc expand coursebas undergradu research experi cure build curriculum support student profession develop research remov financi barrier fund program collabor support
4c6e31458b0b44c1e8bd6e58f7d7e0767f7fde44,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,"CRISP-DM(CRoss-Industry Standard Process for Data Mining) has its origins in the second half of the nineties and is thus about two decades old. According to many surveys and user polls it is still the de facto standard for developing data mining and knowledge discovery projects. However, undoubtedly the field has moved on considerably in twenty years, with data science now the leading term being favoured over data mining. In this paper we investigate whether, and in what contexts, CRISP-DM is still fit for purpose for data science projects. We argue that if the project is goal-directed and process-driven the process model view still largely holds. On the other hand, when data science projects become more exploratory the paths that the project can take become more varied, and a more flexible model is called for. We suggest what the outlines of such a trajectory-based model might look like and how it can be used to categorise data science projects (goal-directed, exploratory or data management). We examine seven real-life exemplars where exploratory activities play an important role and compare them against 51 use cases extracted from the NIST Big Data Public Working Group. We anticipate this categorisation can help project planning in terms of time and cost characteristics.",crispdmcrossindustri standard process data mine origin second half nineti thu two decad old accord mani survey user poll still de facto standard develop data mine knowledg discoveri project howev undoubtedli field move consider twenti year data scienc lead term favour data mine paper investig whether context crispdm still fit purpos data scienc project argu project goaldirect processdriven process model view still larg hold hand data scienc project becom exploratori path project take becom vari flexibl model call suggest outlin trajectorybas model might look like use categoris data scienc project goaldirect exploratori data manag examin seven reallif exemplar exploratori activ play import role compar use case extract nist big data public work group anticip categoris help project plan term time cost characterist
646b226e4fb7b81512e8bec11c3a9d4107f36c70,Data Science,"Data Science refers to an arising district of work regard the accumulation, arrangement, reasoning, imagination, administration, and protection of abundant groups of facts. Although the name Data Science appears to combine most powerfully accompanying extents to a degree databases and information technology, many various types of abilities containing nonmathematical abilities are still wanted attending. Data Science is much in addition to plainly analysing data. The main aim of Data Science search out turn big sets of two together unorganized and organized data into valuable news that can help organisations to create strong data-compelled resolutions. At a extreme level, data erudition maybe defined as a set of fundamental law unavoidable for profitable ancestry of news from data. Since we accumulate data continually and about everything, its use is various. The most average request is in healthcare, travel, e - trade, sports, management, public publishing, etc. The aim concerning this paper search out present data erudition and to present allure benefits and request in differing fields.",data scienc refer aris district work regard accumul arrang reason imagin administr protect abund group fact although name data scienc appear combin power accompani extent degre databas inform technolog mani variou type abil contain nonmathemat abil still want attend data scienc much addit plainli analys data main aim data scienc search turn big set two togeth unorgan organ data valuabl news help organis creat strong datacompel resolut extrem level data erudit mayb defin set fundament law unavoid profit ancestri news data sinc accumul data continu everyth use variou averag request healthcar travel e trade sport manag public publish etc aim concern paper search present data erudit present allur benefit request differ field
370d248f97b75c4040e5828a658bbe4c3b80bf1e,Eleven grand challenges in single-cell data science,,nan
72d3ddf1f7210d7e70144bbc09f770ec411fe909,"Machine Learning in Python: Main developments and technology trends in data science, machine learning, and artificial intelligence","Smarter applications are making better use of the insights gleaned from data, having an impact on every industry and research discipline. At the core of this revolution lies the tools and the methods that are driving it, from processing the massive piles of data generated each day to learning from and taking useful action. Deep neural networks, along with advancements in classical machine learning and scalable general-purpose graphics processing unit (GPU) computing, have become critical components of artificial intelligence, enabling many of these astounding breakthroughs and lowering the barrier to adoption. Python continues to be the most preferred language for scientific computing, data science, and machine learning, boosting both performance and productivity by enabling the use of low-level libraries and clean high-level APIs. This survey offers insight into the field of machine learning with Python, taking a tour through important topics to identify some of the core hardware and software paradigms that have enabled it. We cover widely-used libraries and concepts, collected together for holistic comparison, with the goal of educating the reader and driving the field of Python machine learning forward.",smarter applic make better use insight glean data impact everi industri research disciplin core revolut lie tool method drive process massiv pile data gener day learn take use action deep neural network along advanc classic machin learn scalabl generalpurpos graphic process unit gpu comput becom critic compon artifici intellig enabl mani astound breakthrough lower barrier adopt python continu prefer languag scientif comput data scienc machin learn boost perform product enabl use lowlevel librari clean highlevel api survey offer insight field machin learn python take tour import topic identifi core hardwar softwar paradigm enabl cover widelyus librari concept collect togeth holist comparison goal educ reader drive field python machin learn forward
b79ca6fd3df135a9bcf778844be625b764fbcfb3,Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl,,nan
9bcf291c6245a3c2ee101babf4c1f0bbfa166f92,Data science approach to stock prices forecasting in Indonesia during Covid-19 using Long Short-Term Memory (LSTM),,nan
7282f5c9d84cd47c516a6a66c5a6b8f1e2cf44b6,AutoDS: Towards Human-Centered Automation of Data Science,"Data science (DS) projects often follow a lifecycle that consists of laborious tasks for data scientists and domain experts (e.g., data exploration, model training, etc.). Only till recently, machine learning(ML) researchers have developed promising automation techniques to aid data workers in these tasks. This paper introduces AutoDS, an automated machine learning (AutoML) system that aims to leverage the latest ML automation techniques to support data science projects. Data workers only need to upload their dataset, then the system can automatically suggest ML configurations, preprocess data, select algorithm, and train the model. These suggestions are presented to the user via a web-based graphical user interface and a notebook-based programming user interface. Our goal is to offer a systematic investigation of user interaction and perceptions of using an AutoDS system in solving a data science task. We studied AutoDS with 30 professional data scientists, where one group used AutoDS, and the other did not, to complete a data science project. As expected, AutoDS improves productivity; Yet surprisingly, we find that the models produced by the AutoDS group have higher quality and less errors, but lower human confidence scores. We reflect on the findings by presenting design implications for incorporating automation techniques into human work in the data science lifecycle.",data scienc ds project often follow lifecycl consist labori task data scientist domain expert eg data explor model train etc till recent machin learningml research develop promis autom techniqu aid data worker task paper introduc autod autom machin learn automl system aim leverag latest ml autom techniqu support data scienc project data worker need upload dataset system automat suggest ml configur preprocess data select algorithm train model suggest present user via webbas graphic user interfac notebookbas program user interfac goal offer systemat investig user interact percept use autod system solv data scienc task studi autod profession data scientist one group use autod complet data scienc project expect autod improv product yet surprisingli find model produc autod group higher qualiti less error lower human confid score reflect find present design implic incorpor autom techniqu human work data scienc lifecycl
44321686d59d889af1760357940f04fbb6629597,"The role of data science in healthcare advancements: applications, benefits, and future prospects",,nan
ede0a8039a561905f40777ec2ae66c2010e3f2bc,Cybersecurity data science: an overview from machine learning perspective,,nan
0405bfdc3f0ecb8e9d31ae68911731e61a65c01d,Surgical data science and artificial intelligence for surgical education,"Surgical data science (SDS) aims to improve the quality of interventional healthcare and its value through the capture, organization, analysis, and modeling of procedural data. As data capture has increased and artificial intelligence (AI) has advanced, SDS can help to unlock augmented and automated coaching, feedback, assessment, and decision support in surgery. We review major concepts in SDS and AI as applied to surgical education and surgical oncology.",surgic data scienc sd aim improv qualiti intervent healthcar valu captur organ analysi model procedur data data captur increas artifici intellig ai advanc sd help unlock augment autom coach feedback assess decis support surgeri review major concept sd ai appli surgic educ surgic oncolog
